#### FRB host galaxy compiled catalog ####
#### Credit: K. E. Heintz and F^4
#### Please cite: "https://ui.adsabs.harvard.edu/abs/2020ApJ...903..152H/abstract" when using this catalog
# -- Column description -- #
# Col 1: FRB name
# Col 2-3: Host position, RA and Dec (deg)
# Col 4: Total DM (pc cm^-3)
# Col 5: Redshift
# Col 6-7: Apparent r-band mag corrected for Galactic extinction + error (mag)
# Col 8-9: Rest-frame absolute r-band magnitude + error (mag)
# Col 10-11: Rest-frame u-r color + error
# Col 12-13: Stellar mass + error (Msun)
# Col 14-15: Star-formation rate + error (Msun yr^-1)
# Col 16-17: Host extinction E(B-V) + error (mag)
# Col 18: Mass-weighted age (Myr)
# Col 19: Repeater (1=yes, 0=no)
# Col 20-21: FRB offset from host centroid + error (kpc)
# Col 22-23: Effective radius + error (kpc)
# Col 24-31: Emission line fluxes + error of H-alpha, H-beta, [OIII]5007 and [NII]6584 (10^-16 erg s^-1 cm^-2) 
# Col 32-34: Gas-phase metallicity + error (12+log(O/H))
# -- Header -- #
FRB,RA,Dec,DMobs,zsp,rmag,e_rmag,Mr,e_Mr,ur,e_ur,Mstar,e_Mstar,SFR,e_SFR,EBV,e_EBV,Age_Mass,Rep,Off,e_Off,reff,e_reff,Ha,e_Ha,Hb,e_Hb,OIII,e_OIII,NII,e_NII,logOH,eu_logOH,el_logOH
# -- Data -- #
20121102A,82.9945833,33.1479444,557.0,0.1927,23.73,0.14,-16.2,0.08,1.49,0.18,1.43E8,6.6E7,0.15,0.04,0.12,0.01,257.7,1.0,0.75,0.05,2.05,0.11,2.61,0.04,0.96,0.09,4.38,0.08,0.12,0.0,8.08,0.0,0.0
20180301A,93.2268299,4.67047694,536.0,0.3305,21.04,0.06,-20.18,0.07,0.90,0.11,0.23E10,0.06E10,1.93,0.58,0.58,0.30,607.2,1.0,10.8,3.0,5.80,0.20,16.97,0.18,7.77,0.61,12.75,0.65,4.32,0.32,8.70,0.0,0.0 
20180916B,29.5033333,65.71675,348.8,0.0337,16.17,0.03,-19.46,0.05,1.53,0.06,2.15E9,3.3E8,0.06,0.02,0.12,0.01,154.9,1.0,5.46,0.01,3.57,0.36,40.3,0.2,0.0,0.0,71.6,0.6,15.2,0.2,0.0,0.0,0.0
20180924B,326.1054167,-40.9000278,362.16,0.3214,20.50,0.02,-20.81,0.05,1.78,0.15,1.32E10,5.10E9,0.88,0.26,0.31,0.11,383.4,0.0,3.37,0.84,2.75,0.1,2.79,0.03,0.72,0.02,0.79,0.02,1.94,0.03,8.93,0.02,0.02
20181030A,158.5962667,73.7649778,103.5,0.0039,12.79,0.0,-19.1,0.5,0.0,0.0,5.8e9,1.8e9,0.36,0.1,0.42,0.06,4800.,1,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,0.06,0.06
20181112A,327.3483333,-52.9709444,589.0,0.4755,21.68,0.05,-20.4,0.07,1.12,0.15,3.98E9,2.02E9,0.37,0.11,0.18,0.1,572.4,0.0,1.69,19.2,7.19,1.7,0.64,0.3,0.29,0.02,0.54,0.03,0.49,0.3,8.86,0.25,0.65
20190102C,322.4158333,-79.4756944,364.545,0.2913,-19.87,0.06,1.44,0.15,3.39E9,1.02E9,0.86,0.26,0.27,0.17,55.65,0.0,2.26,4.20,5.00,0.15,5.66,0.17,1.9,0.17,3.8,0.27,1.69,0.19,8.7,0.07,0.08
20190523A,207.06433,72.470756,760.8,0.66,21.91,0.15,-22.06,0.12,1.92,0.19,6.12E10,4.01E10,0.09,0.0,0.3,0.15,685.9,0.0,27.2,22.6,3.28,0.18,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20190608B,334.0195833,-7.8982222,340.05,0.1178,17.55,0.01,-21.22,0.05,1.4,0.09,1.16E10,2.8E9,0.69,0.21,0.12,0.01,383.4,0.0,6.52,0.82,7.37,0.07,27.7,0.4,8.37,0.33,14.95,0.44,18.32,0.38,8.85,0.02,0.02
20190611B,320.744166,-79.3977222,332.63,0.3778,22.07,0.15,-19.29,0.10,1.29,0.18,7.5E8,5.3E8,0.27,0.08,0.4,0.2,0.0,0.0,11.7,5.8,2.15,0.11,0.49,0.05,0.12,0.03,0.18,0.04,0.12,0.04,8.71,0.17,0.28
